"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Allegations,Participants,Union,"Unit Sought",Voters
C,"Region 32, Oakland, California",32-CA-205122,"Community Regional Medical Center",Closed,08/25/2017,11/03/2017,"Withdrawal Non-adjusted",Fresno,CA,500,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
","Charged Party / Respondent, Legal Representative, Polishuk Alex, Jeffer Mangels Butler & Mitchell, LLP, 1900 Avenue of the Stars,, 7th Floor, Los Angeles, CA, 90067-4308, (310)785-5320
Charged Party / Respondent, Legal Representative, Fernandez Marta, Jeffer Mangels Butler & Mitchell, LLP, 1900 Avenue of the Stars,, 7th Floor, Los Angeles, CA, 90067-4308, (310)201-3534
Charging Party, Individual
Charged Party / Respondent, Employer, Community Regional Medical Center, Fresno, CA, 93721-1365
",,,
C,"Region 32, Oakland, California",32-CA-024543,"Community Medical Centers",Closed,05/18/2009,07/14/2009,"Withdrawal Non-adjusted",Fresno,CA,500,"8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)
","Charging Party, Legal Representative, Gauger Matthew, Weinberg, Roger & Rosenfeld,  431 I Street, Suite 201, Sacramento, CA, 95814, (916)443-6600
Charged Party / Respondent, Legal Representative, HAMILTON SARAH, Jones Day, 555 California St., 26th Flr., San Francisco, CA, 94104-1520, (415)875-5832
Charged Party / Respondent, Legal Representative, King Shawn, Jones Day, 325 John H. McConnell Boullevard, Suite 600, Columbus, OH, 43215-2673, (614)281-3874
Charged Party / Respondent, Additional Service, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-2292
Charged Party / Respondent, Employer, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93715-1232
",,,
C,"Region 32, Oakland, California",32-CA-024305,"Community Medical Centers",Closed,01/20/2009,03/23/2009,"Dismissal Non-adjusted",Fresno,CA,1000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(3) Discipline
8(a)(4) Discipline
8(a)(3) Changes in Terms and Conditions of Employment
","Charging Party, Legal Representative, Sencer Caren, Weinberg Roger & Rosenfeld, 1001 Marina Village Pkwy., Ste. 200, Alameda, CA, 94501-6430, (510)337-1001
Charged Party / Respondent, Legal Representative, BENNETT REBEKAH, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1123
Charging Party, Additional Service, SERVICE EMPLOYEES INTERNATIONAL UNION, Washington, DC, 20005-4110
Charged Party / Respondent, Additional Service, Jones, Day, San Diego, CA, 92121-3134
Charged Party / Respondent, Additional Service, COMMUITY MEDICAL CENTERS, Fresno, CA, 93721-1324
Charged Party / Respondent, Additional Service, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-2292
",,,
C,"Region 32, Oakland, California",32-CA-024269,"Community Medical Centers",Closed,12/18/2008,03/23/2009,"Dismissal Non-adjusted",Fresno,CA,1000,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)
8(a)(3) Discipline
","Charging Party, Legal Representative, Sencer Caren, Weinberg Roger & Rosenfeld, 1001 Marina Village Pkwy., Ste. 200, Alameda, CA, 94501-6430, (510)337-1001
Charged Party / Respondent, Legal Representative, BENNETT REBEKAH, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1123
Charging Party, Union, SEIU UNITED HEALTHCARE WORKERS - WEST, Stockton, CA, 95202-2908
Charged Party / Respondent, Additional Service, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-2292
Charging Party, Additional Service, SERVICE EMPLOYEES INTERNATIONAL UNION, Washington, DC, 20005-4110
Charged Party / Respondent, Employer, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-1324
Charged Party / Respondent, Additional Service, COMMUITY MEDICAL CENTERS, Fresno, CA, 93721-1324
Charged Party / Respondent, Additional Service, Jones, Day, San Diego, CA, 92121-3134
",,,
C,"Region 32, Oakland, California",32-CG-000064,"International Brotherhood of Carpenters Union, Local 701 (Community Medical Centers)",Closed,08/26/2008,11/13/2008,"Dismissal Non-adjusted",Fresno,CA,5800,"8(g) All Allegations
","Charged Party / Respondent, Legal Representative, MICKELSON BLYTHE, Weinberg Roger & Rosenfeld, 1001 Marina Village Pkwy., Ste. 200, Alameda, CA, 94501-6430, (510)337-1001
Involved Party, Legal Representative, TREMBLE KRISTINE, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1200
Charged Party / Respondent, Legal Representative, Gauger Matthew, Weinberg, Roger & Rosenfeld,  431 I Street, Suite 201, Sacramento, CA, 95814, (916)443-6600
Involved Party, Employer, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-1324
Charged Party / Respondent, Union, Carpenters Local 701, Fresno, CA, 93728-1141
",,,
C,"Region 32, Oakland, California",32-CB-006484,"International Brotherhood of Carpenters Union, Local 701 (Community Medical Centers)",Closed,08/26/2008,09/30/2008,"Dismissal Non-adjusted",Fresno,CA,5800,"8(b)(1)(A) Coercion, incl'g Statements and Violence
8(b)(1)(A) Picketing/Strike Actions
","Charged Party / Respondent, Legal Representative, MICKELSON BLYTHE, Weinberg Roger & Rosenfeld, 1001 Marina Village Pkwy., Ste. 200, Alameda, CA, 94501-6430, (510)337-1001
Charging Party, Legal Representative, TREMBLE KRISTINE, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1200
Charged Party / Respondent, Legal Representative, Gauger Matthew, Weinberg, Roger & Rosenfeld,  431 I Street, Suite 201, Sacramento, CA, 95814, (916)443-6600
Charging Party, Employer, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-1324
Charged Party / Respondent, Union, Carpenters Local 701, Fresno, CA, 93728-1141
",,,
C,"Region 32, Oakland, California",32-CC-001563,"International Brotherhood of Carpenters Union, Local 701 (Community Medical Centers)",Closed,08/26/2008,11/13/2008,"Dismissal Non-adjusted",Fresno,CA,5800,"8(b)(4)(B) Picketing/Handbilling
","Charged Party / Respondent, Legal Representative, MICKELSON BLYTHE, Weinberg Roger & Rosenfeld, 1001 Marina Village Pkwy., Ste. 200, Alameda, CA, 94501-6430, (510)337-1001
Charging Party, Legal Representative, TREMBLE KRISTINE, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1200
Charged Party / Respondent, Legal Representative, Gauger Matthew, Weinberg, Roger & Rosenfeld,  431 I Street, Suite 201, Sacramento, CA, 95814, (916)443-6600
Charging Party, Employer, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-1324
Charged Party / Respondent, Union, Carpenters Local 701, Fresno, CA, 93728-1141
",,,
C,"Region 32, Oakland, California",32-CC-001561,"International Brotherhood of Carpenters Union, Local 701 (Community Medical Centers)",Closed,08/21/2008,08/26/2008,"Withdrawal Non-adjusted",Fresno,CA,5800,"8(b)(4)(B) Picketing/Handbilling
","Involved Party, Legal Representative, TREMBLE KRISTINE, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1200
Charging Party, Legal Representative, TREMBLE KRISTINE, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1200
Involved Party, Employer, COMMUITY MEDICAL CENTERS, Fresno, CA, 93721-1324
Charging Party, Employer, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-2292
Charged Party / Respondent, Union as an Employer, Carpenters Local 701, Fresno, CA, 93728-1141
",,,
C,"Region 32, Oakland, California",32-CG-000063,"International Brotherhood of Carpenters Union, Local 701 (Community Medical Centers)",Closed,08/21/2008,08/26/2008,"Withdrawal Non-adjusted",Fresno,CA,5800,"8(g) All Allegations
","Involved Party, Legal Representative, TREMBLE KRISTINE, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1200
Involved Party, Employer, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-2292
Charged Party / Respondent, Union, Carpenters Local 701, Fresno, CA, 93728-1141
",,,
C,"Region 32, Oakland, California",32-CB-006482,"International Brotherhood of Carpenters Union, Local 701 (Community Medical Centers)",Closed,08/21/2008,09/30/2008,"Dismissal Non-adjusted",Fresno,CA,5800,"8(b)(1)(A) Coercion, incl'g Statements and Violence
8(b)(1)(A) Picketing/Strike Actions
","Charged Party / Respondent, Legal Representative, MICKELSON BLYTHE, Weinberg Roger & Rosenfeld, 1001 Marina Village Pkwy., Ste. 200, Alameda, CA, 94501-6430, (510)337-1001
Involved Party, Legal Representative, TREMBLE KRISTINE, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1200
Charging Party, Legal Representative, TREMBLE KRISTINE, Jones, Day, 4655 EXECUTIVE DR. STE. 1500, San Diego, CA, 92121-3134, (858)314-1200
Charged Party / Respondent, Legal Representative, Gauger Matthew, Weinberg, Roger & Rosenfeld,  431 I Street, Suite 201, Sacramento, CA, 95814, (916)443-6600
Involved Party, Employer, COMMUNITY MEDICAL CENTERS, Fresno, CA, 93721-2292
Charging Party, Employer, COMMUITY MEDICAL CENTERS, Fresno, CA, 93715-1232
Charged Party / Respondent, Union, Carpenters Local 701, Fresno, CA, 93728-1141
",,,
